"Drug","Serious - More common","Serious - Less common","Serious - Rare","Serious - Incidence not known","Serious - More common in children","Symptoms of overdose","More common","Less common","Rare","Incidence not known"
"phenelzine","Chills; cold sweats; confusion; dizziness, faintness, or lightheadedness when getting up from a lying or sitting position; overactive reflexes; shakiness in the legs, arms, hands, or feet; sudden jerky movements of the body; swelling; trembling or shaking of the hands or feet; ","Abdominal or stomach pain; actions that are out of control; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; change in consciousness; clay-colored stools; dark urine; decrease in frequency of urination; decrease in urine volume; difficult or troubled breathing; difficulty in passing urine (dribbling); disorganized thoughts; dizziness; drowsiness; false or unusual sense of well-being; fast, pounding, or irregular heartbeat or pulse; fear or nervousness; fever; general feeling of discomfort, illness, or weakness; headache; high blood pressure; increased sweating; irregular, fast or slow, or shallow breathing; irritability; itching; lack of emotion or feelings; loss of appetite; loss of consciousness; loud or fast speech; low blood pressure; muscle tremors; muscle twitching; nausea or vomiting; nervousness; no emotion or expression in speech; painful urination; pale or blue lips, fingernails, or skin; rapid, deep, or shallow breathing; rash; restlessness; seeing or hearing things that are not there; seizures; shakiness and unsteady walk; shortness of breath; slow or irregular heartbeat; stomach cramps; sweating; swelling of the feet or lower legs; talking, feeling, and acting with excitement; uncontrolled eye movements; unpleasant breath odor; unsteadiness, trembling, or other problems with muscle control or coordination; unusual paleness; unusual tiredness or weakness; vomiting of blood; weakness; yellow eyes or skin ; ",,,,,"Constipation; decreased interest in sexual intercourse; diarrhea; dry mouth; inability to have or keep an erection; indigestion; loss in sexual ability, desire, drive, or performance; loss of appetite; not able to have an orgasm; passing of gas; sleeplessness; stomach pain, fullness, or discomfort; trouble sleeping; unable to sleep; unusually deep sleep; unusually long duration of sleep; weight gain; ","Blindness; blurred vision; decreased vision; eye pain; redness, swelling, or soreness of the tongue; tearing",,
"phenytoin","Decreased coordination; mental confusion; nervousness; slurred speech; trouble with breathing, speaking, or swallowing; unsteadiness, trembling, or other problems with muscle control or coordination; ",,"Inability to move the eyes; increased blinking or spasms of the eyelid; shakiness and unsteady walk; shakiness in the legs, arms, hands, or feet; sticking out of the tongue; trembling or shaking of the hands or feet; twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs; uncontrolled twisting movements of the neck, trunk, arms, or legs; unusual facial expressions; ","Bleeding gums; blistering, peeling, or loosening of the skin; blisters, hives, itching, skin rash; bloating of the abdomen or stomach; blood in the urine or stools; bloody, black, or tarry stools; chest pain or discomfort; chills; cough; dark urine; diarrhea; difficulty with moving; fainting spells; fever with or without chills; general feeling of discomfort or illness; general feeling of tiredness or weakness; hair loss; headache; high fever; hoarseness; irritation in the mouth; joint or muscle pain; light-colored stools; lightheadedness or dizziness; lower back or side pain; muscle stiffness; nausea; numbness, tingling, or pain in the hands or feet; painful or difficult urination; pale skin; pinpoint red spots on the skin; red skin lesions, often with a purple center; red, irritated eyes; redness and swelling of the gums; slow or irregular heartbeat; sore throat; sores, ulcers, or white spots on the lips or in the mouth; stomach pain; swollen, painful, or tender lymph glands in the neck, armpit, or groin; unusual bleeding or bruising; unusual tiredness or weakness; upper right abdominal or stomach pain; vomiting; weight loss; yellow eyes or skin; ",,,"Trouble sleeping; uncontrolled eye movements; ",,,"Difficulty having a bowel movement; enlarged lips; feeling of constant movement of self or surroundings; increased hair growth on the forehead, back, arms, or legs; pain of the penis on erection; sensation of spinning"
"prochlorperazine",,,,"Agitation; black, tarry stools; chest pain; clay-colored stools; constipation; dark urine; decrease in how much or how often you urinate; diarrhea; difficulty in swallowing and breathing; dizziness, faintness, or lightheadedness when suddenly getting up from a lying or sitting position; drooling; drowsiness; dryness of the mouth; fever and chills; headache; inability to have or keep an erection; loss of appetite; mask-like face; nasal congestion; nausea; painful or difficult urination; shuffling walk; sore throat; sores, ulcers, or white spots on the lips or in the mouth; stomach pain; swollen glands; tightness of the throat; trembling and shaking of the fingers and hands; uncontrolled chewing movements and movements of the arms and legs; unpleasant breath odor; unusual bleeding or bruising; unusual tiredness or weakness; vomiting of blood; yellow eyes or skin; ",,"Change in consciousness; fast, slow, or irregular heartbeat; loss of consciousness; seizures; severe sleepiness; ",,,,"Blurred vision; increased sensitivity of the skin to sunlight; irregular menstrual periods; itching, rash, redness, or discoloration of the skin; jitteriness; trouble sleeping"
"protriptyline",,,,"Abdominal or stomach pain; agitation or irritability; blurred vision; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; change in urination; chest pain or discomfort; clay-colored stools; cold sweats; confusion about identity, place, and time; continuing ringing, buzzing, or other unexplained noise in the ears; convulsions; cool, pale skin; difficulty with speaking; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; double vision; drooling; false beliefs that cannot be changed by facts; fast, pounding, or irregular heartbeat or pulse; feeling of warmth; feeling, seeing, or hearing things that are not there; feeling that others are watching you or controlling your behavior; feeling that others can hear your thoughts; fever with or without chills; hearing loss; hostility; hyperventilation; inability to move the arms, legs, or facial muscles; lack of coordination; lower back or side pain; mood or mental changes; muscle spasm or jerking of all extremities; muscle trembling or twitching; nightmares; pain or discomfort in the arms, jaw, back, or neck; panic; pinpoint red or purple spots on the skin; pounding in the ears; redness of the face, neck, arms, and occasionally, upper chest; shakiness and unsteady walk; slurred speech; sore throat; sores, ulcers, or white spots on the lips or in the mouth; stiffness of the limbs; stupor; sweating; swelling of face, ankles, or hands; swollen glands; talking, feeling, and acting with excitement; trouble sleeping; twisting movements of body uncontrolled movements, especially of the face, neck, and back; unusual behavior; unusual bleeding or bruising; unusual tiredness or weakness; weakness in the arms, hands, legs, or feet; weight gain or loss; yellow eyes or skin; ",,"Change in consciousness; clumsiness; disorientation; disturbed concentration; drowsiness to profound coma; enlarged pupils; increased or excessive unconscious or jerking movements; low body temperature; muscle aches or tightness; muscle weakness; severe sleepiness; shivering; trouble breathing; weak or feeble pulse; ",,,,"Abdominal or stomach cramps; bigger, dilated, or enlarged pupils (black part of the eye); black tongue; difficulty having a bowel movement (stool); enlargement or swelling of the breasts; hair loss or thinning of the hair; heartburn; hives or welts; increased in sexual ability, desire, drive, or performance; increased sensitivity of the eyes to light; increased sensitivity of the skin to sunlight; pain or discomfort in the chest, upper stomach, or throat; peculiar taste; severe sunburn; small red or purple spots on the skin; swelling of the testicles; swelling or inflammation of the mouth; swollen, painful, or tender lymph glands on side of the face or neck; unexpected or excess milk flow from the breasts; waking to urinate at night"
"quetiapine","Chills; cold sweats; confusion; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; sleepiness or unusual drowsiness; ","Black, tarry stools; blurred vision; changes in patterns and rhythms of speech; chest pain; cough; drooling; fever; inability to move the eyes; inability to sit still; increased blinking or spasms of the eyelid; lip smacking or puckering; loss of balance control; mask-like face; muscle aches; need to keep moving; painful or difficult urination; puffing of the cheeks; rapid or worm-like movements of the tongue; restlessness; shakiness in the legs, arms, hands, or feet; shuffling walk; slowed movements; slurred speech; sore throat; sores, ulcers, or white spots on the lips or in the mouth; sticking out of the tongue; stiffness of the arms or legs; sweating; swelling of the face, arms, hands, feet, or lower legs; swollen glands; trembling and shaking of the hands and fingers; trouble with breathing, speaking, or swallowing; uncontrolled chewing movements; uncontrolled movements of the arms and legs; uncontrolled twisting movements of the neck, trunk, arms, or legs; unusual bleeding or bruising; unusual facial expressions; unusual tiredness or weakness; ","Dry, puffy skin; fast, pounding, or irregular heartbeat; loss of appetite; menstrual changes; unusual secretion of milk (in females); weight gain; ","Aching or discomfort in the lower legs or sensation of crawling in the legs; agitation; bed-wetting; blistering, peeling, or loosening of the skin; bloating; bluish lips or skin; chest discomfort; constipation; dark urine; decreased awareness or responsiveness; decreased urine output; depression; diarrhea; difficulty breathing; difficulty in passing urine (dribbling); difficulty swallowing; dizziness; faintness; general feeling of tiredness or weakness; headache; hives, itching, skin rash; hoarseness; increased thirst; indigestion; irritability; joint or muscle pain; light-colored stools; loss of consciousness; lower back or side pain; muscle cramps, spasms, stiffness, or twitching; nausea; painful or prolonged erection of the penis; painful urination; pains in the stomach, side, or abdomen, possibly radiating to the back; puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue; red skin lesions, often with a purple center; red, irritated eyes; seizures; severe constipation; severe sleepiness; severe vomiting; sore throat; stomach pain, continuing; tightness in the chest; tingling of the hands or feet; unusual bleeding or bruising unusual drowsiness, dullness, or feeling of sluggishness; unusual weight gain or loss; upper right abdominal pain; vomiting; yellow eyes or skin; ",,,,"Abnormal vision; belching; decreased appetite; decreased strength and energy; heartburn; increased appetite; increased muscle tone; increased sweating; indigestion; sneezing; stomach discomfort or upset; stuffy or runny nose; ",,
"risperidone","Aggressive behavior; agitation; anxiety; changes in vision, including blurred vision; difficulty concentrating; difficulty speaking or swallowing; inability to move the eyes; increase in amount of urine; loss of balance control; mask-like face; memory problems; muscle spasms of the face, neck, and back; problems with urination; restlessness or need to keep moving (severe); shuffling walk; skin rash or itching; stiffness or weakness of the arms or legs; tic-like or twitching movements; trembling and shaking of the fingers and hands; trouble sleeping; twisting body movements; ","Back pain; chest pain; speech or vision problems; sudden weakness or numbness in the face, arms, or legs; ","Confusion; dizziness; drowsiness; extreme thirst; fast, shallow breathing; fast, weak heartbeat; headache; increased thirst; lip smacking or puckering; loss of appetite; muscle cramps; pale, clammy skin; poor coordination; prolonged, painful, inappropriate erection of the penis; puffing of the cheeks; rapid or worm-like movements of the tongue; shivering; talking, feeling, and acting with excitement and activity that cannot be controlled; uncontrolled chewing movements; uncontrolled twisting movements of neck, trunk, arms, or legs; unusual bleeding or bruising; unusual facial expressions or body positions; ","Actions that are out of control; bleeding gums; bloating; blood in the urine or stools; bluish lips or skin; change in mental status; chills; clay-colored stools; clumsiness; cold sweats; constipation; cool, pale skin; cough; dark or bloody urine; decrease in the frequency of urination; decrease in urine volume; decreased awareness or responsiveness; depression; difficulty in passing urine (dribbling); dry mouth; fainting; fast or irregular heartbeat; fever; flushed, dry skin; fruit-like breath odor; hives; hostility; increased hunger; increased urination; indigestion; irregular heartbeat, recurrent; irritability; large, hive-like swelling on face, eyelids, lips, tongue, throat, hands, legs, feet, or genitals; loss of consciousness; low body temperature muscle ache, twitching, or weakness; nausea; nervousness; nightmares; painful urination; pains in the stomach, side, or abdomen, possibly radiating to the back; pinpoint red spots on the skin; puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue; rapid weight gain; seizures; severe constipation; severe sleepiness; shakiness; slurred speech; stomach pain; swelling of the face, ankles, or hands; tightness in the chest; troubled breathing; unexplained weight loss; unpleasant breath odor; unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness; vomiting; vomiting of blood; weak or feeble pulse; yellow eyes or skin; ",,,"Diarrhea; heartburn; increased dream activity; increased length of sleep; sore throat; stuffy or runny nose; ","Absent, missed, or irregular menstrual periods; body aches or pain; breast swelling or soreness; dandruff; darkening of skin color; decreased interest in sexual intercourse; dry skin; ear congestion; inability to have or keep an erection; increase in body movements; increased watering of the mouth; joint pain; loss in sexual ability, desire, drive, or performance; loss of voice; oily skin; pain or tenderness around the eyes and cheekbones; sneezing; stopping of menstrual bleeding; toothache; unusual breast milk production; weight loss; ",,"Acne; change in taste; enlargement of the penis or testes; growth of pubic hair; loss of taste; rapid increase in height; sleepwalking; thinning or loss of hair"
"selegiline","Twitching, twisting, uncontrolled repetitive movements of the tongue, lips, face, arms, or legs; ","Blurred vision; bruising; chest pain; convulsions; decreased urine; difficult or labored breathing; difficulty with swallowing; discouragement; dizziness; dry mouth; feeling sad or empty; headache; increased thirst; irregular heartbeat; irritability; large, flat, blue or purplish patches in the skin; loss of appetite; loss of interest or pleasure; mood changes; muscle pain or cramps; nausea or vomiting; nervousness; numbness or tingling in the hands, feet, or lips; pounding in the ears; seeing, hearing, or feeling things that are not there; shakiness and unsteady walk; shakiness in the legs, arms, hands, or feet; sleepiness or unusual drowsiness; slow or fast heartbeat; swelling or inflammation of the mouth; tightness in the chest; tiredness; trouble concentrating; trouble sleeping; unsteadiness, trembling, or other problems with muscle control or coordination; unusual tiredness or weakness; ",,"Agitation; diarrhea; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; fever; overactive reflexes; poor coordination; restlessness; shivering; sweating; talking or acting with excitement you cannot control; ",,,"Dry skin; hives, itching, or skin rash; itching, scaling, severe redness, soreness, or swelling of the skin; runny nose; sneezing; stuffy nose; trouble sleeping; ","Acid or sour stomach; back pain; belching; bloated or full feeling; body aches or pain; congestion; cough; difficulty having a bowel movement (stool); difficulty with moving; dryness or soreness of the throat; excess air or gas in the stomach or intestines; heartburn; hoarseness; indigestion; joint pain; leg cramps; muscle aching or cramping; muscle pains or stiffness; passing gas; stomach discomfort, upset, or pain; swollen joints; tender, swollen glands in the neck; tooth problems; voice changes",,
"sertraline","Decreased sexual desire or ability; failure to discharge semen (in men); ","r rare; Aggressive reaction; breast tenderness or enlargement; confusion; convulsions; diarrhea; drowsiness; dryness of the mouth; fast talking and excited feelings or actions that are out of control; fever; inability to sit still; increase in body movements; increased sweating; increased thirst; lack of energy; loss of bladder control; mood or behavior changes; muscle spasm or jerking of all extremities; nosebleeds; overactive reflexes; racing heartbeat; red or purple spots on the skin; restlessness; shivering; skin rash, hives, or itching; sudden loss of consciousness; unusual or sudden body or facial movements or postures; unusual secretion of milk (in females); ",,"Abdominal or stomach pain; bleeding gums; blindness; blistering, peeling, or loosening of the skin; bloating; blood in the urine; bloody, black, or tarry stools; blue-yellow color blindness; blurred vision; chest pain or discomfort; chills; clay-colored stools; cough or hoarseness; darkened urine; decreased urine output; decreased vision; depressed mood; difficulty with breathing; difficulty with speaking; difficulty with swallowing; drooling; dry skin and hair; eye pain; fainting; feeling cold; feeling of discomfort; feeling, seeing, or hearing things that are not there; general feeling of discomfort, illness, tiredness, or weakness; hair loss; high fever; high or low blood pressure; hoarseness or husky voice; hostility; increased clotting times; indigestion; inflamed joints; irritability; joint or muscle pain; large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs; lethargy; lightheadedness; loss of appetite; loss of balance control; loss of bladder control; lower back or side pain; muscle aches; muscle cramps and stiffness; muscle trembling, jerking, or stiffness; muscle twitching; painful or difficult urination; pains in the stomach, side, or abdomen, possibly radiating to the back; pale skin; puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue; rapid weight gain; rash; red, irritated eyes; red, sore, or itching skin; right upper stomach pain and fullness; severe mood or mental changes; severe muscle stiffness; shuffling walk; sore throat; sores, ulcers, or white spots in the mouth or on the lips; sores, welting, or blisters; stiffness of the limbs; sweating; swelling of the face, ankles, or hands; swollen or painful glands; talking or acting with excitement you cannot control; tightness in the chest; troubled breathing; twisting movements of the body; twitching; uncontrolled movements, especially of the face, neck, and back; unexplained bleeding or bruising; unpleasant breath odor; unusual behavior; unusual tiredness or weakness; vomiting of blood; weight gain; yellow eyes and skin; ",,,"Acid or sour stomach; belching; decreased appetite or weight loss; diarrhea or loose stools; heartburn; sleepiness or unusual drowsiness; stomach or abdominal cramps, gas, or pain; trouble sleeping; ","Agitation, anxiety, or nervousness; bladder pain; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; changes in vision; cloudy urine; constipation; difficult, burning, or painful urination; flushing or redness of the skin, with feeling of warmth or heat; frequent urge to urinate; increased appetite; pain or tenderness around the eyes and cheekbones; stuffy or runny nose; ",,"Flushed, dry skin; fruit-like breath odor; increased hunger; increased urination; redness or other discoloration of the skin; severe sunburn; swelling of the breasts (in women); unexplained weight loss; unusual secretion of milk (in women)"
"thiothixene",,,"Cough; difficulty with swallowing; dizziness; fast heartbeat; hives; itching; puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue; shortness of breath; skin rash; tightness in the chest; unusual tiredness or weakness; wheezing; ","Abdominal or stomach pain; back, leg, or stomach pains; bleeding gums; bloating or swelling of the face, arms, hands, lower legs, or feet; blood in the urine or stools; bloody, black, or tarry stools; blurred vision; chest pain; chills; clay-colored stools; confusion; convulsions; cough or hoarseness; dark urine; difficulty with breathing; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; fainting; fast, pounding, or irregular heartbeat or pulse; fever; fever with or without chills; general body swelling; general feeling of tiredness or weakness; headache; high fever; high or low blood pressure; inability to move the eyes; inability to sit still; increased blinking or spasms of the eyelid; increased sweating; lightheadedness; lip smacking or puckering; loss of appetite; loss of balance control; loss of bladder control; lower back or side pain; mask-like face; nausea or vomiting; need to keep moving; nosebleeds; overactive reflexes; painful or difficult urination; pale skin; pinpoint red spots on the skin; puffing of the cheeks; rapid or worm-like movements of the tongue; rapid weight gain; restlessness; seizures; severe muscle stiffness; shuffling walk; slowed movements; slurred speech; sore throat; sores, ulcers, or white spots on the lips or in the mouth; sticking out of the tongue; sweating; swollen glands; tic-like (jerky) movements of the head, face, mouth, and neck; tingling of the hands or feet; tiredness; trembling and shaking of the fingers and hands; trouble with breathing, speaking, or swallowing; uncontrolled chewing movements; uncontrolled movements of the arms and legs; uncontrolled twisting movements of the neck, trunk, arms, or legs; unexplained bleeding or bruising; unpleasant breath odor; unusual bleeding or bruising; unusual facial expressions; unusual weight gain or loss; unusually pale skin; vomiting of blood; yellowing of the eyes or skin; ",,"Change in consciousness; depression; drowsiness; loss of consciousness; sudden jerky movements of the body; ",,,,"Absent, missed, or irregular menstrual periods; anxiety; constipation; decreased interest in sexual intercourse; diarrhea; dry mouth; extreme thirst; hives or welts; hyperventilation; inability to have or keep an erection; increased appetite; increased sensitivity of the skin to sunlight; increased sweating; increased thirst; increased weight; irritability; loss in sexual ability, desire, drive, or performance; menstrual changes; nervousness; redness or other discoloration of the skin; severe sunburn; sleeplessness; stopping of menstrual bleeding; stuffy nose; swelling of the breasts or unusual milk production; trouble with sleeping; unable to sleep; watering of mouth"
"tiagabine","Blue or purple spots on skin; difficulty in concentrating or paying attention; ","Burning, numbness, or tingling sensations;  clumsiness or unsteadiness; confusion; itching; mental depression; speech or language problems; ","Agitation; bloody or cloudy urine; burning, pain, or difficulty in urinating;  frequent urge to urinate; generalized weakness; hostility; memory problems; quick to react or overreact emotionally;  rash; uncontrolled back-and-forth andor rolling eye movements; walking in unusual manner; ",,,"Agitation (severe); clumsiness or unsteadiness (severe); coma; confusion (severe); drowsiness (severe);  increase in seizures; mental depression; severe muscle twitching or jerking;  sluggishness; speech problems (severe); weakness; ","Chills; diarrhea; dizziness; drowsiness;  fever; headache; muscle aches or pain; nervousness; sore throat; tremor; unusual tiredness or weakness; vomiting; ","Abdominal pain; flushing; impaired vision; increased appetite ; increased cough; mouth ulcers; muscle weakness; nausea; pain; trouble in sleeping",,
"topiramate","Any vision problems, especially blurred vision, double vision, eye pain, or rapidly decreasing vision; burning, prickling, or tingling sensations; clumsiness or unsteadiness; confusion; continuous, uncontrolled back-and-forth or rolling eye movements; dizziness; drowsiness; eye redness; generalized slowing of mental and physical activity; increased eye pressure; memory problems; menstrual changes; menstrual pain; nervousness; speech or language problems; trouble in concentrating or paying attention; unusual tiredness or weakness; ","Abdominal or stomach pain; fever, chills, or sore throat; lessening of sensations or perception; loss of appetite; mood or mental changes, including aggression, agitation, apathy, irritability, and mental depression; red, irritated, or bleeding gums; weight loss; ","Blood in the urine; decrease in sexual performance or desire; difficult or painful urination; frequent urination; hearing loss; loss of bladder control; lower back or side pain; nosebleeds; pale skin; red or irritated eyes; ringing or buzzing in the ears; skin rash or itching; swelling; trouble breathing; ","Blistering, peeling, or loosening of the skin; blisters in the mouth; blisters on the trunk, scalp, or other areas; bloating; clay-colored stools; constipation; cough; diarrhea; increased rate of breathing; joint or muscle pain; pain or tenderness in upper abdomen or stomach; red skin lesions, often with a purple center; sores, ulcers, or white spots in the mouth or on the lips; yellow eyes or skin; ",,,"Breast pain in women; tremors; ","Back pain; chest pain; constipation; heartburn; hot flushes; increased sweating; leg pain; ",,
"tramadol",,"Abnormal or decreased touch sensation; blisters under the skin; bloating; blood in the urine; blood pressure increased; blurred vision; change in walking and balance; chest pain or discomfort; chills; dark urine; difficult urination; dizziness or lightheadedness when getting up from a lying or sitting position; fainting; fast heartbeat; frequent urge to urinate; gaseous abdominal or stomach pain; indigestion; irregular heartbeat; loss of memory; numbness and tingling of the face, fingers, or toes; pain in the arms, legs, or lower back, especially pain in the calves or heels upon exertion; pain or discomfort in the arms, jaw, back, or neck; pains in the stomach, side, or abdomen, possibly radiating to the back; pale, bluish-colored or cold hands or feet; recurrent fever; seeing, hearing, or feeling things that are not there; seizures; severe cramping; severe nausea; severe redness, swelling, and itching of the skin; stomach fullness; sweating; swelling of the hands, ankles, feet, or lower legs; trembling and shaking of the hands or feet; trouble performing routine tasks; weak or absent pulses in the legs; yellow eyes or skin; ",,"Agitation; confusion; cough; darkening of the skin; diarrhea; difficulty swallowing; dizziness; fever; hives, itching, skin rash; irregular heartbeat, recurrent; loss of appetite; mental depression; nausea; overactive reflexes; poor coordination; puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue; restlessness; shivering; talking or acting with excitement you cannot control; tightness in the chest; twitching; unusual tiredness or weakness; vomiting; ",,"Change in consciousness; decreased awareness or responsiveness; difficulty with breathing; lack of muscle tone; lightheadedness; loss of consciousness; pinpointed pupils of the eyes; severe sleepiness; slow or irregular heartbeat; unusual tiredness; ","Constipation; discouragement; drowsiness; dry mouth; feeling of warmth; feeling sad or empty; feeling unusually cold; general feeling of discomfort or illness; headache; heartburn; irritability; itching or skin rash; joint pain; loss of interest or pleasure; loss of strength or weakness; muscle aches and pains; redness of the face, neck, arms, and occasionally, upper chest; runny nose; sleepiness or unusual drowsiness; sore throat; stomach pain; stuffy nose; tiredness; trouble concentrating; unusual feeling of excitement; weakness; ","Abnormal dreams; appetite decreased; back pain; bladder pain; blistering, crusting, irritation, itching, or reddening of the skin; bloody or cloudy urine; body aches or pain; change in hearing; clamminess; cough producing mucus; cracked, dry, or scaly skin; decreased interest in sexual intercourse; difficult, burning, or painful urination; difficulty with moving; disturbance in attention; ear congestion; ear drainage; earache or pain in the ear; excessive gas; falls; false or unusual sense of well-being; feeling hot; feeling jittery; general feeling of bodily discomfort; goosebumps; headache, severe and throbbing; hoarseness; inability to have or keep an erection; itching, pain, redness, swelling, tenderness, or warmth on the skin; joint sprain, stiffness, or swelling; loss in sexual ability, desire, drive, or performance; loss of voice; lower back or side pain; muscle aching or cramping; muscle injury; muscle pain, stiffness, spasms, or twitching; nasal congestion; neck pain; night sweats; pain in the limbs; pain or tenderness around the eyes and cheekbones; pain, swelling, or redness in the joints; skin discoloration; trouble in holding or releasing urine; trouble sleeping; weight changes",,
"tranylcypromine",,,,"Absence of or decrease in body movement; actions that are out of control; agitation; anxiety; black, tarry stools; bleeding gums; blood in the urine or stools; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; chest pain; chills; confusion; confusion about identity, place, and time; cough; dark urine; decrease in frequency of urination; decrease in urine volume; decreased awareness or responsiveness; depression; difficulty in passing urine (dribbling); dizziness; dry mouth; fast, irregular, pounding, or racing heartbeat or pulse; fever with or without chills; general feeling of tiredness or weakness; headache; hoarseness; hostility; hyperventilation; increased need to urinate; irritability; light-colored stools; longer than usual time to ejaculation of semen; loss of bladder control; loss of consciousness; lower back or side pain; muscle twitching; nausea; nervousness; painful or difficult urination; pale skin; passing urine more often; pinpoint red spots on the skin; rapid weight gain; restlessness; seizures; severe sleepiness; shakiness and unsteady walk; sore throat; sores, ulcers, or white spots on the lips or in the mouth; sudden jerky movements of the body; swelling of the face, ankles, or hands; swollen glands; talking, feeling, and acting with excitement; trouble with sleeping; troubled breathing with exertion; unsteadiness, trembling, or other problems with muscle control or coordination; unusual bleeding or bruising; unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness; upper right abdominal pain; vomiting; yellow eyes and skin; ",,,,,,"Blurred vision; constipation; continuing ringing or buzzing or other unexplained noise in the ears; decreased interest in sexual intercourse; diarrhea; drowsiness; dry mouth; hair loss or thinning of the hair; hearing loss; hives or welts, itching, skin rash; inability to have or keep an erection; loss in sexual ability, desire, drive, or performance; loss of appetite; memory loss; muscle spasm; redness of the skin; stomach pain; unable to sleep; weakness; weight loss; "
"trazodone","Blurred vision; confusion; dizziness; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; lightheadedness; sweating; unusual tiredness or weakness; ","Burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; confusion about identity, place, and time; decreased concentration; fainting; general feeling of discomfort or illness; headache; lack of coordination; muscle tremors; nervousness; pounding in the ears; shortness of breath; slow or fast heartbeat; swelling; ","Skin rash; unusual excitement; ",,,,"Dry mouth (usually mild); muscle or bone pain; trouble sleeping; trouble with remembering; unpleasant taste; ","Constipation; continuing ringing or buzzing or other unexplained noise in the ears; diarrhea; hearing loss; muscle aches or pains; weight loss; ",,
"trimipramine",,,,"Abdominal or stomach pain; agitation; black, tarry stools; bleeding or bruising; blood in the urine or stools; blurred vision; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; chest pain or discomfort; clay-colored stools; cold sweats; confusion about identity, place, and time; continuing ringing, buzzing, or other unexplained noise in the ears; convulsions; cool, pale skin; cough or hoarseness; dark urine; decrease in the frequency of urination; decreased urine output or volume; depression; difficulty in passing urine (dribbling); difficulty with speaking; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; double vision; drooling; dry mouth; false beliefs that cannot be changed by facts; fast, pounding, or irregular heartbeat or pulse; feeling of warmth; feeling that others are watching you or controlling your behavior; feeling that others can hear your thoughts; feeling, seeing, or hearing things that are not there; fever with or without chills; flushed, dry skin; fruit-like breath odor; general feeling of tiredness or weakness; headache; hearing loss; hostility; hyperventilation; inability to move the arms, legs, or facial muscles; inability to speak; increased hunger; increased need to urinate; increased thirst; increased urination; irritability; itching or rash; lack of coordination; lethargy; loss of appetite; loss of balance control; lower back or side pain; mood or mental changes; muscle spasm or jerking of all extremities; muscle trembling or stiffness; muscle twitching; nausea; nightmares; pain or discomfort in the arms, jaw, back, or neck; painful or difficult urination; passing urine more often; pinpoint red or purple spots on the skin; pounding in the ears; rapid weight gain; redness of the face, neck, arms, and occasionally, upper chest; restlessness; shakiness and unsteady walk; shuffling walk; slow speech; slurred speech; sore throat; sores, ulcers, or white spots on the lips or in the mouth; stiffness of the limbs; sudden loss of consciousness; sweating; swelling of the face, ankles, legs, or hands; swollen glands; talking, feeling, and acting with excitement; trouble in holding or releasing urine; trouble sleeping; twisting movements of the body; uncontrolled movements, especially of the face, neck, and back; unpleasant breath odor; unsteadiness, awkwardness, trembling, or other problems with muscle control or coordination; unusual behavior; unusual tiredness or weakness; vomiting of blood; weakness in the arms, hands, legs, or feet; weight gain or loss; yellow eyes or skin; ",,,,,,"Abdominal or stomach cramps; bigger, dilated, or enlarged pupils (black part of the eye); black tongue; bloating; decreased interest in sexual intercourse; diarrhea; difficulty having a bowel movement (stool); disturbance of accommodation; enlargement of the breast; hair loss or thinning of the hair; heartburn; hives or welts; inability to have or keep an erection; increase in sexual ability, desire, drive, or performance; increased sensitivity of the eyes to light; increased sensitivity of the skin to sunlight; loss in sexual ability, desire, drive, or performance; pain or discomfort in the chest, upper stomach, or throat; peculiar taste; redness or other discoloration of the skin; severe sunburn; small red or purple spots on the skin; swelling of the breasts or breast soreness in both women and men; swelling of the testicles; swelling or inflammation of the mouth; swollen, painful, or tender lymph glands in the neck; unexpected milk flow from the breasts"
